id,brand,name,country,price,size,slug
009c2e24-7a34-45fe-95e0-4aedb36b4d90,601 Toro,601 Toro,Nicaragua,7.1,Toro,601-toro
4c57d426-edf5-4f1b-a6ca-fda3f711d1d1,601 Torpedo,601 Torpedo,Nicaragua,7.9,Figurado,601-torpedo
9b96fe0b-79c6-4be0-b4cb-30a4407a4264,7-20-4 1874,7-20-4 1874 Series Lancero,Nicaragua,8.0,Panetela,7-20-4-1874-series-lancero
43176568-9add-440d-862d-95db58249c03,7-20-4 1874,7-20-4 1874 Series Corona Especial,Nicaragua,8.5,Toro,7-20-4-1874-series-corona-especial
f806718f-8382-4db1-a7dd-cd19f6a13036,7-20-4 1874,7-20-4 1874 Series Torpedo,Nicaragua,7.95,Figurado,7-20-4-1874-series-torpedo
5f3bd00f-3d42-40f1-bb2a-07d2b8073ae2,7-20-4 1874,7-20-4 1874 Series Robusto Especial,Honduras,9.5,Robusto,7-20-4-1874-series-robusto-especial
4e8b2c9a-e80d-45f7-9349-11f951205db0,7-20-4 Churchill,7-20-4 Churchill,Honduras,8.35,Churchill,7-20-4-churchill
35874701-8264-40eb-b56b-3ac1b1ef864d,7-20-4 Churchill,7-20-4 Churchill,Honduras,7.95,Churchill,7-20-4-churchill-1
94bbe2cc-412a-497f-82ee-b481203167c9,7-20-4 Churchill,7-20-4 Churchill,Honduras,7.95,Churchill,7-20-4-churchill-2
502b4b31-8fd2-4fbc-b6b0-1c127ae0ff2d,7-20-4 Corona,7-20-4 Corona,Honduras,6.75,Toro,7-20-4-corona
88ff67ca-8ec5-49d1-8cfc-0b1a293aa2a8,7-20-4 Dog,7-20-4 Dog Walker,Honduras,5.75,Petit Corona,7-20-4-dog-walker
041da1f9-1d2f-450a-bf7b-7e9d6c0e0084,7-20-4 Dog,7-20-4 Dog Walker,Honduras,5.5,Petit Corona,7-20-4-dog-walker-1
b4e80d87-d83f-4de1-921c-c9d415a5bb2b,7-20-4 Factory,7-20-4 Factory 57 Dog Walker,Honduras,6.95,Petit Corona,7-20-4-factory-57-dog-walker
062d9db3-c396-4a12-b77b-152ad819189f,7-20-4 Factory,7-20-4 Factory 57 Gagger,Honduras,10.85,Grande,7-20-4-factory-57-gagger
e45e54fa-a7f3-465a-af24-9857b35d8167,7-20-4 Factory,7-20-4 Factory 57 Torpedo,Honduras,11.5,Figurado,7-20-4-factory-57-torpedo
4cc7b5a2-5e49-4582-80a9-dd6933556476,7-20-4 Factory,7-20-4 Factory 57 Torpedo,Honduras,11.5,Figurado,7-20-4-factory-57-torpedo-1
6b28ec37-d06c-4d4d-b5bd-2f1c8348f5d0,7-20-4 Factory,7-20-4 Factory 57 Churchill,Honduras,11.0,Churchill,7-20-4-factory-57-churchill
c2956bf7-2db3-492a-a46e-9fc58b91346c,7-20-4 Factory,7-20-4 Factory 57 Dog Walker,Honduras,6.5,Petit Corona,7-20-4-factory-57-dog-walker-1
e59fff88-bbe4-4afb-90a5-d4ef99ee9bd8,7-20-4 Factory,7-20-4 Factory 57 Dog Walker,Honduras,6.0,Petit Corona,7-20-4-factory-57-dog-walker-2
3d67863d-7af3-4535-b849-6fd44f01e6f9,7-20-4 Factory,7-20-4 Factory 57 Corona Gorda,Honduras,7.75,Toro,7-20-4-factory-57-corona-gorda
ec99d83e-0fe2-42fc-9592-b919cd99b62c,7-20-4 Factory,7-20-4 Factory 57 Gordo,Honduras,9.5,Grande,7-20-4-factory-57-gordo
1418946e-bf7b-4385-b405-583864a0c2ee,7-20-4 Factory,7-20-4 Factory 57 Corona Gorda,Honduras,7.75,Toro,7-20-4-factory-57-corona-gorda-1
77decb67-b01f-45d9-b1ff-c1b336af69e9,7-20-4 Factory,7-20-4 Factory 57 Robusto,Honduras,7.75,Robusto,7-20-4-factory-57-robusto
8d55c982-d172-44b6-bd93-94369249b062,7-20-4 Factory,7-20-4 Factory 57 Toro,Honduras,8.5,Toro,7-20-4-factory-57-toro
65b27af2-2508-4bc3-9986-f8f1ff5bd766,7-20-4 Factory,7-20-4 Factory 57 Gordo,Honduras,9.5,Grande,7-20-4-factory-57-gordo-1
387c222c-4ade-466a-a729-e86335f0fc74,7-20-4 Gagger,7-20-4 Gagger,Honduras,9.35,Grande,7-20-4-gagger
d1406357-1b85-44ea-a3be-cf82826c0074,7-20-4 Gran,7-20-4 Gran Toro,Honduras,10.4,Toro,7-20-4-gran-toro
